"Name","Live Bytes","Live Objects"
"jdk.internal.reflect.DelegatingClassLoader","26,400 B (0%)","300 (0%)"
"com.intellij.util.xmlb.OptionTagBinding","25,880 B (0%)","647 (0%)"
"java.awt.image.DirectColorModel","25,632 B (0%)","178 (0%)"
"com.intellij.ui.CoreIconManager$IconDescriptionLoader","25,464 B (0%)","1,061 (0%)"
"com.intellij.ui.ScalableIconWrapperWithToolTip","25,464 B (0%)","1,061 (0%)"
"javax.swing.MenuElement[]","25,456 B (0%)","1,591 (0%)"
"sun.security.util.DerInputBuffer","25,280 B (0%)","790 (0%)"
"sun.security.util.DerValue","25,280 B (0%)","790 (0%)"
"kotlin.reflect.jvm.internal.ReflectProperties$LazyVal","25,248 B (0%)","1,052 (0%)"
"com.intellij.util.containers.WeakValueHashMap$MyWeakReference","24,896 B (0%)","778 (0%)"
"com.intellij.openapi.actionSystem.DefaultActionGroup","24,808 B (0%)","443 (0%)"
"sun.font.TrueTypeFont$DirectoryEntry[]","24,720 B (0%)","280 (0%)"
"sun.awt.image.IntegerInterleavedRaster","24,544 B (0%)","236 (0%)"
"java.lang.ref.ReferenceQueue$Lock","24,064 B (0%)","1,504 (0%)"
"java.util.ResourceBundle$KeyElementReference","24,064 B (0%)","752 (0%)"
"sun.reflect.generics.tree.TypeArgument[]","23,952 B (0%)","1,272 (0%)"
"sun.util.locale.BaseLocale","23,648 B (0%)","739 (0%)"
"sun.util.locale.BaseLocale$Key","23,648 B (0%)","739 (0%)"
"java.lang.ref.PhantomReference","23,520 B (0%)","735 (0%)"
"javax.swing.text.StyleContext$KeyEnumeration","23,208 B (0%)","967 (0%)"
"com.intellij.openapi.editor.impl.InlayModelImpl$$Lambda$1433.0x000000010100bc40","22,968 B (0%)","957 (0%)"
"com.intellij.ide.ui.ToolOptionDescription","22,920 B (0%)","573 (0%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","22,912 B (0%)","716 (0%)"
"com.intellij.codeInsight.hint.HintManagerImpl$HintInfo[]","22,624 B (0%)","1,414 (0%)"
"com.intellij.openapi.editor.impl.event.EditorEventMulticasterImpl$3$$Lambda$2880.0x00000001017d9c40","22,624 B (0%)","1,414 (0%)"
"org.jdom.ImmutableSameTypeAttributeList","22,560 B (0%)","940 (0%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","22,464 B (0%)","468 (0%)"
"com.google.gson.internal.LinkedTreeMap$Node","22,224 B (0%)","463 (0%)"
"io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue","21,584 B (0%)","38 (0%)"
"com.intellij.openapi.fileEditor.impl.text.TextEditorComponent$$Lambda$1640.0x0000000101256440","21,344 B (0%)","667 (0%)"
